epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,359.927,0.74898,0.79078,0.10147,0.3226,0.60128,0.27692,0.10968,0.49821,3.03169,0.08134,0.000664717,0.000664717,0.000664717
2,662.545,0.84108,0.79704,0.12866,0.3154,0.83156,0.24544,0.08631,0.48956,2.50983,0.07123,0.00100187,0.00100187,0.00100187
3,961.995,0.83987,0.78999,0.12177,0.3416,0.84861,0.27028,0.10132,0.48391,1.94326,0.07534,0.00100902,0.00100902,0.00100902
4,1262.56,0.80366,0.76688,0.10575,0.33151,0.73277,0.31215,0.12321,0.48591,1.74484,0.06635,0.000515,0.000515,0.000515
5,357.619,0.73859,0.80826,0.11209,0.2513,0.64392,0.24387,0.09048,0.50123,2.34194,0.07335,0.000664717,0.000664717,0.000664717
6,659.552,0.82682,0.83644,0.13751,0.27549,0.51812,0.22164,0.07285,0.56643,1.17972,0.08247,0.00119958,0.00119958,0.00119958
7,965.156,0.81648,0.93578,0.13684,0.10847,0.53731,0.08336,0.02348,0.62066,1.26447,0.09181,0.00160244,0.00160244,0.00160244
8,1264.47,0.8033,0.85858,0.13191,0.30351,0.53945,0.2339,0.0839,0.54297,1.18155,0.08868,0.001406,0.001406,0.001406
9,1569.89,0.82674,0.81207,0.14225,0.31383,0.54319,0.25686,0.09797,0.48564,1.15787,0.08007,0.001208,0.001208,0.001208
10,1881.52,0.76539,0.79396,0.11758,0.35147,0.70576,0.29904,0.11818,0.50158,1.35318,0.07888,0.00101,0.00101,0.00101
11,2194.84,0.72269,0.80672,0.10658,0.3785,0.66095,0.30687,0.11847,0.38538,1.36971,0.07793,0.000812,0.000812,0.000812
12,2515.26,0.75133,0.80663,0.11233,0.36601,0.69083,0.3201,0.12679,0.03608,1.45182,0.07468,0.000614,0.000614,0.000614
13,2831.92,0.71646,0.78837,0.10692,0.36135,0.72708,0.31347,0.11699,0.0917,1.57522,0.07358,0.000416,0.000416,0.000416
14,3138.36,0.68636,0.79331,0.10068,0.37007,0.742,0.3196,0.13107,0.04916,1.62427,0.0762,0.000218,0.000218,0.000218
