epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.306,2.26798,2.1791,1.17413,0.81786,0.62135,0.6986,0.25806,2.14018,1.5718,1.13236,0.000665919,0.000665919,0.000665919
2,725.936,2.167,1.47575,1.16627,0.84105,0.67557,0.74406,0.29355,2.09494,1.31381,1.16047,0.00120066,0.00120066,0.00120066
3,1072.79,2.10609,1.3722,1.14384,0.88801,0.72397,0.80725,0.33027,2.02384,1.2791,1.11778,0.0016034,0.0016034,0.0016034
4,1419.88,2.04751,1.27142,1.12188,0.90843,0.77853,0.85201,0.35052,1.97177,1.12004,1.09367,0.001406,0.001406,0.001406
5,1770.0,1.98169,1.15925,1.09959,0.88014,0.80278,0.85696,0.36011,1.94246,1.06293,1.08285,0.001208,0.001208,0.001208
6,2122.9,1.93124,1.07466,1.07999,0.90074,0.81134,0.87297,0.38943,1.8628,1.0415,1.06546,0.00101,0.00101,0.00101
7,2472.44,1.87137,1.00604,1.06008,0.92619,0.87126,0.91878,0.42695,1.81276,0.93497,1.04404,0.000812,0.000812,0.000812
8,2821.28,1.8223,0.94259,1.0467,0.92171,0.87732,0.91474,0.41511,1.81046,0.88805,1.04055,0.000614,0.000614,0.000614
9,3165.6,1.77072,0.8884,1.02514,0.92343,0.88659,0.9199,0.42937,1.78123,0.8498,1.02875,0.000416,0.000416,0.000416
10,3516.86,1.72254,0.83809,1.01607,0.92863,0.91369,0.93682,0.45452,1.72535,0.79993,1.01502,0.000218,0.000218,0.000218
11,346.085,1.8683,1.07612,1.05893,0.88634,0.84228,0.89054,0.39614,1.81725,0.96049,1.04619,0.000665906,0.000665906,0.000665906
12,707.383,1.93422,1.14363,1.07541,0.90543,0.83047,0.88255,0.37524,1.87452,1.00787,1.04873,0.00120065,0.00120065,0.00120065
13,1036.34,1.94878,1.18349,1.08833,0.91226,0.84227,0.89406,0.40533,1.83175,0.97837,1.04212,0.00160339,0.00160339,0.00160339
14,1369.26,1.93288,1.15314,1.08689,0.88628,0.786,0.85809,0.37173,1.81594,1.01747,1.045,0.001406,0.001406,0.001406
15,1696.63,1.89134,1.11039,1.06959,0.91965,0.84585,0.90592,0.41854,1.77045,0.93263,1.03705,0.001208,0.001208,0.001208
16,2029.41,1.85665,1.04748,1.05403,0.93701,0.86713,0.92885,0.44541,1.72013,0.87218,1.01526,0.00101,0.00101,0.00101
17,2361.12,1.79786,0.98319,1.04386,0.94053,0.89843,0.93627,0.46187,1.67773,0.82123,1.01185,0.000812,0.000812,0.000812
18,2690.56,1.75051,0.93074,1.0266,0.93223,0.91021,0.93851,0.45564,1.67405,0.80776,1.00813,0.000614,0.000614,0.000614
19,3020.27,1.70636,0.8858,1.01577,0.92762,0.90754,0.93836,0.47685,1.63382,0.77144,0.99357,0.000416,0.000416,0.000416
20,3350.9,1.66248,0.84739,1.00336,0.93773,0.92203,0.94717,0.49744,1.59137,0.74076,0.9831,0.000218,0.000218,0.000218
