epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.544,2.10633,1.41236,1.177,0.67897,0.40557,0.43166,0.15072,2.17395,2.16253,1.21407,0.0033296,0.0033296,0.0033296
2,759.178,2.1877,1.5086,1.19505,0.57965,0.5216,0.49062,0.1838,2.13198,2.42042,1.23001,0.006531,0.006531,0.006531
3,1117.78,2.23747,1.58881,1.20764,0.68681,0.36249,0.4013,0.15452,2.25322,2.09932,1.30818,0.00960041,0.00960041,0.00960041
4,1473.15,2.2798,1.62214,1.23009,0.73587,0.59157,0.63779,0.24802,2.08101,1.70695,1.20748,0.009406,0.009406,0.009406
5,1827.72,2.17964,1.46366,1.20101,0.82731,0.71082,0.74803,0.29476,1.98834,1.25893,1.18332,0.009208,0.009208,0.009208
6,2188.09,2.11978,1.36611,1.17032,0.84817,0.76183,0.81892,0.35225,1.91475,1.1301,1.17095,0.00901,0.00901,0.00901
7,2542.34,2.07389,1.3031,1.15924,0.84913,0.70868,0.79406,0.34392,1.95157,1.24181,1.16086,0.008812,0.008812,0.008812
8,2896.3,2.04689,1.24516,1.13925,0.91581,0.74402,0.83276,0.36748,1.85775,1.15267,1.14065,0.008614,0.008614,0.008614
9,3250.12,2.0391,1.22348,1.14445,0.87616,0.80507,0.84597,0.34762,1.88481,1.07866,1.13806,0.008416,0.008416,0.008416
10,3602.18,2.00359,1.18535,1.13874,0.87913,0.77644,0.83764,0.34685,1.90226,1.05488,1.14144,0.008218,0.008218,0.008218
11,341.229,2.03398,1.31431,1.18069,0.85983,0.7586,0.81669,0.32631,1.92237,1.10353,1.12097,0.000665906,0.000665906,0.000665906
12,674.563,2.04372,1.32057,1.18237,0.86062,0.77227,0.83442,0.35023,1.89791,1.07433,1.11708,0.00120065,0.00120065,0.00120065
13,1005.72,2.03323,1.2923,1.17618,0.888,0.77138,0.83442,0.33463,1.95979,1.09259,1.14721,0.00160339,0.00160339,0.00160339
14,1327.72,1.99775,1.24135,1.16117,0.8994,0.82038,0.86321,0.37876,1.85713,1.00977,1.10697,0.001406,0.001406,0.001406
15,1649.01,1.95078,1.18008,1.14723,0.90982,0.84135,0.88824,0.3943,1.83244,0.93971,1.10286,0.001208,0.001208,0.001208
16,1969.96,1.92046,1.11934,1.13432,0.91385,0.83642,0.88792,0.40176,1.79113,0.94086,1.08312,0.00101,0.00101,0.00101
17,2296.08,1.8832,1.06291,1.12263,0.92016,0.86662,0.9017,0.43199,1.73353,0.88452,1.06749,0.000812,0.000812,0.000812
18,2622.09,1.84294,1.02228,1.10906,0.92189,0.86224,0.90321,0.42825,1.72535,0.86745,1.06231,0.000614,0.000614,0.000614
19,2941.68,1.78875,0.96525,1.09438,0.93284,0.88109,0.91548,0.44688,1.69562,0.81968,1.05554,0.000416,0.000416,0.000416
20,3268.04,1.74386,0.91917,1.07942,0.93599,0.89105,0.9233,0.45646,1.66436,0.80089,1.04778,0.000218,0.000218,0.000218
